Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
18352	0	0	0	0	0	0	0
18354	0	0	0	0	0	0	0
18356	8	11	0	1	58	174	2
18357	0	0	0	0	0	0	0
18358	0	0	0	0	0	1	0
18359	0	0	0	0	0	0	5
18361	0	0	0	1	2	0	0
18362	0	0	0	0	0	0	0
18363	0	0	0	0	0	0	0
18365	0	0	0	0	0	0	0
18366	0	0	0	0	0	0	0
18367	0	0	0	0	0	0	0
18368	0	0	0	0	0	0	0
18369	0	0	0	0	0	0	0
18370	0	0	0	0	0	0	0
18372	0	0	0	0	0	0	0
18373	0	0	0	0	0	0	0
18377	87	89	103	422	595	156	69
18378	2	2	2	10	6	13	15
18379	0	0	0	0	0	0	0
18383	559	263	699	319	553	157	606
18386	5	2	1	1	2	9	1
18387	0	0	0	0	0	0	0
18389	356	83	315	42	50	35	32
18390	2	1	8	0	0	1	0
18391	1375	1589	810	1031	997	1538	1273
18392	552	743	475	494	552	804	763
18393	4705	6712	4898	2763	5277	7082	6175
18399	0	0	0	0	0	1	0
18400	8	0	1	8	8	44	2
18405	1	22	1	3	2	72	2
18406	20	82	18	56	30	37	162
18407	3	12	9	33	11	22	9
18408	1342	2211	1676	1622	1812	1720	2138
18412	10005	9344	5991	6601	6482	8902	4999
18413	79	6	77	63	39	54	90
18414	2453	336	613	742	545	806	260
18415	2074	3635	2114	1416	1611	2698	1912
18416	0	0	0	0	0	4	0
18417	38	48	154	385	667	874	215
18419	1	8	4	4	3	16	17
18420	0	0	0	0	0	0	0
18422	0	0	0	0	0	0	0
18423	3000	1706	285	713	561	220	418
18424	154	30	2602	61	415	5662	2312
18426	11	1	8	17	18	20	12
18429	0	0	0	1	1	0	0
18430	121	241	179	741	244	357	348
18431	0	0	0	0	3	0	0
18432	8307	19943	9563	9125	10420	10816	14787
18436	86	2	9	23	21	72	22
18438	2179	561	515	679	691	1067	384
18439	2853	1270	555	781	1118	2427	649
18440	8	56	2	22	7	39	2
18441	7	142	30	27	93	59	67
18442	392	86	127	127	135	234	102
18451	5699	10569	3885	3298	2731	4302	9049
18452	1577	569	368	359	96	446	460
18453	23850	22739	15612	15104	13370	21479	22717
18457	1811	1602	1130	1168	978	1989	1872
18458	21697	28781	21266	24621	25241	35361	25726
18459	0	0	0	0	0	0	0
18472	21794	24698	19361	13756	17710	24815	18988
18475	12294	16965	15821	10613	12257	11756	18118
18476	1190	1213	1207	954	1092	1129	1708
18477	15621	26256	10718	12218	12718	25371	17426
18478	0	0	0	0	0	0	0
18479	3184	575	1470	565	1006	820	416
18481	3443	6396	3046	6113	5700	4982	4062
18483	2641	3293	3254	3110	3223	1524	2870
18484	6702	3446	3450	3190	3188	9082	3013
18488	9	11	18	1	20	0	262
18489	0	0	0	0	0	0	0
18491	3328	164	498	883	193	2244	738
18503	0	0	0	0	5	0	0
18504	0	0	0	0	1	0	0
18505	0	1	0	3	14	234	0
18506	0	0	0	0	0	0	0
18507	0	6	36	52	0	3	3
18508	7268	5546	13769	1877	2863	6073	4633
18509	0	0	0	1	0	1	0
18510	1	0	0	0	0	0	0
18511	1	1	0	2	0	4	1
18514	6041	5664	7542	7983	9276	12118	10256
18515	1626	1150	1410	994	1552	1564	1653
18516	1746	1852	1658	2752	3903	2037	2257
18518	2392	3084	1560	2493	1959	3319	2358
18519	4109	2397	2294	2091	2979	6485	1497
18521	7379	8348	6371	5453	8508	11046	10262
18526	231	398	202	432	1014	18	389
18530	44	387	163	105	25	34	149
18534	0	0	0	0	73	739	0
18536	15050	20405	16435	13131	17989	18210	18658
18537	2127	2793	2017	1521	1869	1656	2068
18538	7184	9675	6196	7101	9109	9219	12981
18541	3878	4344	3665	4331	5351	3582	4325
18542	5552	711	843	1559	694	1977	739
18545	0	0	0	0	1	0	0
18546	289	58	166	34	83	117	223
18548	87	161	41	20	60	336	64
18549	95	6	257	59	328	11	22
18550	4644	1196	2049	2195	2633	2673	1265
18551	66	47	68	18	42	21	50
18552	1054	330	769	541	401	1023	558
18553	1017	217	817	378	609	636	921
18554	2045	1485	1210	1247	993	1612	1332
18555	5139	5834	4846	4569	5063	6643	5003
18557	235	80	66	64	24	90	20
18559	471	34	118	92	103	205	50
18563	646	2062	2947	3269	4561	6377	4334
18566	113	6	2	21	64	121	10
18567	1008	1267	766	649	976	1489	864
18569	1327	2009	3349	1860	2932	2247	2078
18570	1815	1586	1382	1441	1233	1751	1396
18571	7358	6516	4245	4235	4596	6952	6143
18572	2446	4230	4162	2919	4370	3132	3910
18573	167	35	37	100	148	185	57
18574	818	420	865	444	599	525	226
18575	982	21038	18198	9865	9215	9079	15614
18576	6993	4281	8939	3442	5533	3547	3327
18577	443	180	202	201	382	220	535
18578	2742	2625	1860	1124	1107	2591	1572
18582	720	940	632	565	804	1042	1041
18583	4731	7728	5082	4377	5172	7260	6621
18584	680	155	156	336	309	493	193
18585	374	321	632	150	449	731	69
18587	0	2	7	5	4	0	0
18588	0	1	1	0	1	0	0
18590	945	1062	710	1098	1938	1561	1755
18591	1459	583	262	609	515	647	396
18595	28971	5693	8981	8170	14889	6832	5056
18596	11397	1193	2531	3552	2345	2263	2723
18597	6407	10939	6593	6046	6941	9173	8167
18598	0	1	1	0	0	0	0
18599	2	8	0	0	9	27	4
18600	242	577	143	540	1350	16069	1444
18601	0	1	3	5	53	256	32
18602	0	3	0	60	59	188	22
18604	1103	820	470	296	514	1210	1318
18605	1219	448	517	524	373	306	138
18606	527	615	210	444	1197	196	127
18607	8925	6789	5193	5205	8293	9531	6346
18609	0	0	0	0	0	0	0
18610	9	1	4	3	18	0	2
18611	11200	4883	4997	6364	6908	5621	3378
18612	1216	456	460	686	523	2039	2315
18613	8503	1476	1682	3787	2168	4676	2289
