"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"501",4,16,13,0,3,2,5,2,2,0,2,3
"506",2531,3024,1810,1574,1771,1688,907,688,307,1267,2069,1249
"509",232,238,209,195,172,216,87,48,124,192,283,196
"513",57,32,47,21,20,22,13,15,23,19,41,22
"514",32,24,14,7,17,12,4,3,15,14,20,18
"515",301,374,209,226,286,186,122,75,97,237,345,194
"516",28,34,13,13,16,16,12,3,3,15,32,14
"517",47,67,70,46,37,32,6,15,11,33,58,25
"518",189,236,138,101,166,131,84,61,66,111,245,121
"521",23,41,44,33,32,30,13,8,23,26,35,25
"522",95,116,176,76,84,77,15,24,32,56,94,45
"523",394,509,340,223,270,153,129,134,136,136,164,90
"525",0,0,0,0,0,0,0,0,0,0,0,0
"526",1389,1532,736,516,498,251,382,452,259,841,524,435
"527",760,822,523,413,391,399,146,166,237,264,270,259
"528",577,375,195,204,295,189,129,141,124,155,283,131
"529",178,203,156,172,213,151,57,39,98,201,236,129
"533",251,239,292,153,107,90,110,97,120,113,50,61
"534",3,1,4,2,2,3,12,20,29,5,8,0
"535",317,201,384,165,148,131,84,54,74,63,27,39
"537",185,171,224,55,41,38,60,68,37,41,61,70
"538",162,183,224,48,82,44,260,134,111,106,228,73
"539",188,163,266,136,163,176,41,42,56,141,245,121
"540",3,0,6,0,1,0,9,3,0,0,2,4
"545",378,291,660,534,815,505,371,240,492,303,668,356
"546",1159,914,991,402,558,505,975,673,475,339,621,470
"547",0,1,0,3,1,0,0,0,0,0,0,0
"549",27,17,80,12,27,13,17,7,9,9,27,13
"550",367,239,175,271,258,292,240,181,199,180,220,182
"551",0,0,0,0,1,0,0,0,0,0,0,0
"552",9,0,1,1,3,6,3,0,0,3,0,5
"553",1,0,0,1,0,0,1,0,0,0,0,0
"554",3,1,0,0,3,1,4,1,18,0,0,4
"558",13,119,61,5,10,8,65,79,63,13,48,11
"563",0,0,0,0,0,0,0,0,0,0,0,1
"566",1,4,0,1,0,0,2,1,3,1,0,0
"567",5867,5805,7688,2209,2240,2798,2149,1605,2630,2628,3692,3196
"570",3,1,1,0,2,3,2,4,0,1,2,1
"571",4120,2639,2353,1519,1602,1813,786,798,673,817,393,639
"572",14,8,0,2,5,6,0,1,2,0,1,1
"573",320,317,277,246,220,180,157,135,206,102,139,96
"575",5,0,0,5,2,0,1,2,3,0,2,2
"576",0,1,4,1,0,0,2,0,0,1,0,0
"577",3,2,0,0,0,0,0,0,0,1,0,0
"578",82,38,83,31,45,29,16,18,9,20,52,24
"579",0,0,0,0,0,0,0,1,0,0,0,0
"580",69,69,82,66,84,36,44,25,18,53,47,31
"581",17,20,25,5,8,3,4,9,3,2,2,3
"582",13,11,2,4,13,4,6,9,13,2,14,4
"583",45,41,65,126,116,87,116,64,39,121,254,101
"585",21,23,11,26,37,32,17,12,12,13,30,22
"586",158,139,25,79,44,40,23,35,51,109,9,54
"587",15,7,22,4,8,5,5,2,0,3,10,5
"590",0,0,1,0,0,0,0,0,1,1,0,0
"593",20,15,7,12,15,11,10,7,5,6,23,12
"594",34,33,72,7,14,14,30,32,27,12,15,26
"595",49,23,19,73,94,112,14,20,27,16,12,17
"596",879,327,876,377,565,458,571,349,319,198,560,176
"597",3206,3418,697,379,153,227,140,638,358,361,29,193
