ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
67890	2146	3836	3887	4213	2524	4135	3482	5116	3301	5076	2936	3453	6031	3144	2601	1961	2189	3209	2655
67891	69010	104447	114212	89508	76684	87100	67183	76262	102905	97488	48201	98636	77949	106587	54090	45107	53040	63807	89687
67892	411	651	665	745	432	587	436	591	623	845	364	590	744	590	328	304	349	509	551
67893	418	415	370	385	499	382	583	437	642	390	1605	518	167	216	482	554	802	639	186
67894	1246	1433	1246	1345	966	839	688	1148	866	1382	1537	1224	900	829	1197	798	1191	1102	984
67895	3543	6433	8220	5700	3697	6838	5111	5779	7322	8847	3967	5010	10048	5847	3788	2910	4171	3963	3700
67896	2293	2077	471	966	818	2137	2595	2777	2549	2007	6914	2268	1064	888	2114	2654	2327	3530	745
67897	3825	5227	6490	5775	4215	17199	6997	10079	9532	12604	6090	9292	8202	9097	9322	3999	6288	6246	5492
67898	1403	2400	2302	2403	1568	1467	1481	1375	1691	2182	1732	2419	1849	1998	1308	1132	1234	2368	2081
67899	267	356	369	394	242	418	282	460	307	439	547	842	807	923	559	389	510	604	825
67900	58	130	147	87	91	182	188	147	266	310	266	414	333	505	172	135	102	260	309
67902	1427	1881	2323	2062	1645	1035	1074	1117	760	1266	607	789	953	1529	500	342	517	695	819
67903	2334	3902	4458	3884	2938	2666	2885	2795	3058	3505	1983	3627	1883	2683	1474	1934	1921	2700	3045
67905	1158	1450	1894	1589	1337	468	618	492	824	715	715	609	758	797	302	436	528	758	519
67909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67911	685	733	898	744	825	509	1396	792	830	443	465	425	524	360	411	642	530	425	239
67912	1119	1349	1226	1150	907	1614	1271	1464	1117	1506	2126	1829	2436	1731	1750	1279	1986	2294	1249
67914	1552	2250	2755	2358	1949	2051	1725	1801	1759	2583	1163	2503	1435	2369	1526	843	1045	1911	1924
67916	5278	11957	12558	13951	9225	1051	1319	1411	1352	1121	3474	2272	1314	601	1038	2101	1611	4279	1522
67917	1099	1610	1808	1520	1612	1148	1322	1082	1534	1393	708	994	1516	1004	789	948	753	994	1238
67920	1979	3130	3483	2504	2087	4829	3441	3354	5207	6322	2972	4940	6680	4854	3158	2959	3159	3324	3721
67921	539	895	1022	740	718	962	994	1203	1200	1255	1215	1297	1858	1454	1056	1393	1004	1492	1304
67922	3462	5361	6478	4960	3968	4876	3912	4624	4989	6847	3348	4628	2517	3514	3624	2707	3068	3432	1842
67923	1212	1965	2343	2216	1233	2758	1532	2683	2645	3303	2277	3479	4846	3300	2633	2526	2393	3946	3147
67926	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0
67927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67928	0	0	0	0	0	0	1	2	1	1	13	1	5	0	1	5	0	0	0
67929	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
67931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
67932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67933	847	1364	1268	1400	1101	1819	1769	1635	1718	2355	1221	894	1442	1294	1506	990	906	755	1041
67934	10	5	4	6	15	30	5	12	15	8	10	17	17	10	17	30	7	4	16
67935	0	1	3	1	1	3	2	3	1	14	31	4	2	7	6	2	2	16	1
67936	1259	1667	2077	1332	1250	1683	1625	1858	2284	2453	850	1449	1767	1757	1257	708	1127	1004	1134
67937	18	9	81	4	28	64	69	7	57	64	128	54	10	42	260	5	14	3	6
67938	2840	4208	4696	3669	3466	7512	4645	7155	7590	7015	7381	6192	8570	6150	4622	3958	6395	7695	3996
67939	446	672	758	739	429	393	283	458	394	581	370	456	375	434	269	283	215	409	422
67941	1848	3106	3047	3162	1533	3187	1924	3538	3322	4634	2675	4178	5154	3771	2290	1918	2254	3185	3507
67942	55	51	68	55	56	21	18	30	27	42	23	26	19	16	15	16	20	19	21
67943	4297	6025	6526	6188	4239	4491	3955	4574	4826	5932	3433	2978	5896	2321	3136	2041	2458	2836	2961
67944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67945	26620	37053	42213	34610	25186	30824	27740	25824	42014	36071	14654	28554	23573	22207	19226	13876	16506	24291	20845
67946	719	1001	852	1021	660	131	443	369	281	220	738	223	56	1015	155	300	231	378	146
67948	3219	4718	4785	4855	3465	4443	4266	5123	4463	6039	3426	3693	5295	4957	3425	5945	3300	4979	3202
67949	2655	4195	4571	4031	2788	5325	3602	5079	5218	6057	3322	4878	5916	5539	3866	7657	3153	4903	4307
67951	1580	2398	1295	1904	1044	1334	1577	2331	2164	1198	3051	1772	1042	3429	845	1496	1167	4328	2435
67952	5971	8128	9366	9550	5792	14230	7134	10578	10640	11934	6233	15189	8169	12564	7940	3368	5000	9993	7055
67955	2790	4607	5157	4069	3037	3647	3377	3783	6631	5905	2522	4973	4670	4392	4143	1987	2316	3551	4868
67956	2066	3084	3439	2650	2250	5307	4862	3990	5993	7617	5206	6326	13462	11115	7098	4148	7710	6774	6547
67958	9000	14747	14961	13999	9802	11858	11510	15098	15498	18129	10109	15003	17690	16779	11343	8472	10832	12437	14055
67959	6947	12096	13523	10706	8642	9619	9450	10389	12249	17138	6033	10201	10657	9906	5115	3381	5872	8760	10014
67963	9064	9694	9564	8587	6043	5385	7069	8889	9726	10573	12793	14239	8625	9154	6037	7367	6962	10731	12556
67966	89	175	122	163	105	145	123	105	192	147	210	280	350	335	239	236	215	286	283
67967	2479	4368	4971	4123	2981	3050	4388	3531	4814	6404	2243	2131	5590	1959	2356	2034	2607	3040	3138
67968	1	7	1	3	1	3	2	24	5	5	26	4	1	45	0	1	0	6	16
67971	764	3804	2782	2203	4325	2318	3257	764	1553	3294	683	598	746	1373	775	579	606	1777	830
67972	8560	10124	10147	9714	7902	12765	15651	12019	11883	16478	19996	9656	14825	8793	12841	6010	9085	8508	8465
67973	1842	3240	4021	3257	1955	4158	3029	3809	4443	6164	1806	1796	5846	1923	2516	1814	2274	2125	2118
