Run 63	55.9556	68.1498	58.9095	56.3714	64.3161	1.3658	0.5969	0.5664	0.2699	0.2203	0.2202	0.219	0.2179	0.2281	0.1906	0.2118	0.2079	0.2008	0.195	0.1833
Run 64	59.771	74.7717	59.4626	52.6563	60.6819	1.5368	0.4466	0.3099	0.284	0.1776	0.1313	0.1107	0.1091	0.1098	0.1058	0.1058	0.1043	0.1028	0.1026	0.1021
Run 65	73.2387	56.4881	59.1877	63.5273	50.807	0.9711	0.1436	0.1208	0.1189	0.1165	0.1123	0.1116	0.1082	0.1065	0.0964	0.0992	0.0998	0.1338	0.1945	0.1079
Run 66	59.8109	76.3308	56.6761	63.8739	54.3799	1.1585	1.2757	1.0463	0.8284	0.6925	0.2724	0.1684	0.1615	0.155	0.1543	0.1521	0.1512	0.1486	0.1479	0.1377
Run 67	73.399	69.3558	56.6804	65.1344	49.9329	1.4801	1.251	0.8038	0.4561	0.1236	0.1151	0.1146	0.1081	0.1052	0.1001	0.0927	0.0942	0.0928	0.0848	0.086
Run 68	58.2561	71.1877	72.8346	59.8195	69.9342	2.5436	0.9458	0.6169	0.1881	0.1748	0.1638	0.1601	0.143	0.1221	0.1211	0.106	0.1121	0.1175	0.1024	0.1079
Run 69	75.6248	54.9239	61.3359	63.4775	66.6543	1.3184	0.8045	0.4415	0.3291	0.2169	0.2218	0.2201	0.2121	0.2077	0.1948	0.1889	1.1162	0.7286	0.5581	0.422
Run 70	62.8358	63.9158	58.1076	54.5258	52.4113	1.6743	0.6201	0.155	0.1314	0.1282	0.1294	0.1269	0.1257	0.1287	0.121	0.1234	0.1229	0.1221	0.2203	0.1219
Run 71	66.4979	44.8894	53.7771	57.4162	65.0175	1.4021	0.2142	0.1154	0.1139	0.1056	0.1077	0.1057	0.1008	0.0998	0.0944	0.0955	0.093	0.0923	0.0904	0.0941
Run 72	70.5284	60.9362	60.031	79.2202	68.6172	1.8609	1.1699	0.4551	0.6825	0.4065	0.1275	0.1145	0.1073	0.1056	0.1044	0.104	0.1027	0.1031	0.1045	0.1023
Run 73	63.8213	64.9871	60.1475	83.2772	53.7608	1.4346	0.7457	0.1378	0.1146	0.1111	0.1069	0.1033	0.0981	0.0923	0.7487	0.5898	0.2892	0.1201	0.0942	0.0918
Run 74	63.9823	48.9761	59.3065	55.9165	56.3578	1.792	1.0968	0.6197	0.5452	2.2334	2.0946	1.943	1.794	1.6555	1.5128	1.4184	1.3358	1.2619	1.1937	1.105
