"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"8704_B4GALT2",6.43,6.76,7.9,7.3,6.59
"8706_B3GALNT1",6.37,6.15,5.05,5.51,6.72
"8712_PAGE1",3.82,2.78,2.98,2.88,3.17
"8722_CTSF",6.69,6.97,6.97,6.95,8.24
"8726_EED",6.22,6.66,6.12,5.61,6.17
"8727_CTNNAL1",3.69,5.58,3.76,3.76,4.7
"8728_ADAM19",6.26,6.51,7.38,7.08,6.28
"8731_RNMT",4.14,4.97,4.1,4.71,4.33
"8743_TNFSF10",2.53,5.1,2.82,3.01,4.27
"8744_TNFSF9",5.19,4.18,4.97,5.04,4.33
"8754_ADAM9",2.75,4.24,5.17,5.22,4.19
"8761_PABPC4",4.79,5.94,6.3,5.94,5.7
"8763_CD164",4.92,5.64,5.56,6.29,6.3
"8764_TNFRSF14",6.61,6.09,6.02,5.95,6.23
"8773_SNAP23",3.34,4.48,5.4,4.67,5.49
"8788_DLK1",4.68,3.99,3.96,3.86,4.15
"8793_TNFRSF10D",3.99,4.96,6.44,4.15,4.32
"8795_TNFRSF10B",5.84,7.91,7.53,6.63,6.29
"8799_PEX11B",6.61,5.17,5.29,5.04,6.87
"8803_SUCLA2",3.19,3.48,3.97,3.9,3.96
"8804_CREG1",3.1,3.66,2.6,2.76,4.41
"8805_TRIM24",3.79,4.98,3.89,5.78,5.64
"8813_DPM1",5.87,6.78,6.47,6.18,6.9
"8817_FGF18",6.76,6.42,6.51,6.81,6.65
"8826_IQGAP1",5.63,7.48,7.07,7.68,6.89
"8829_NRP1",2.52,3.88,3.66,3.88,2.53
"8836_GGH",5.15,5.08,6.34,6.28,6.07
"8840_WISP1",2.5,2.31,3.85,2.46,2.55
"8842_PROM1",2.44,2.39,2.42,2.56,2.33
"8851_CDK5R1",2.68,3,2.45,2.24,2.52
"8853_ASAP2",2.97,3.69,3.38,2.9,2.59
"8854_ALDH1A2",4.88,4.73,4.55,4.79,4.64
"8864_PER2",3.6,3.38,3.47,3.15,4.41
"8869_ST3GAL5",4.36,3.87,4.19,3.48,3.68
"8870_IER3",7.87,9.22,9.23,7.16,8.42
"8872_CDC123",6.46,7.95,7,7.52,7.59
"8878_SQSTM1",8.59,7.99,8.32,8.64,7.97
"8881_CDC16",5.77,6.36,6.56,6.71,5.92
"8883_NAE1",6.75,7.56,7.57,7.97,7.24
"8887_TAX1BP1",5.65,7.21,7.41,7.15,7.03
"8895_CPNE3",5.51,5.79,5.58,4.85,6.16
"8900_CCNA1",3.37,3.21,2.88,3.67,2.93
"8904_CPNE1",8.77,9.7,9.13,8.87,8.99
"8905_AP1S2",4.72,7.33,6.86,5.79,4.74
"8908_GYG2",3.92,4.08,3.65,3.86,4.27
"8910_SGCE",6.04,7.57,8.75,7.68,7.11
"8915_BCL10",4.86,7.58,5.91,6.23,4.97
"8933_FAM127A",8.11,9.95,9.73,9.63,7.8
"8935_SKAP2",4.1,4.19,5.32,3.13,4.33
"8942_KYNU",4.85,3.29,3.3,3.59,4.6
"8970_HIST1H2BJ",3.64,4.2,3.34,3.46,3.25
"8971_H1FX",7.74,6.97,7.09,6.33,7.22
"8974_P4HA2",5.72,6.22,7.94,6.87,5.85
"8976_WASL",5.6,7.04,6.22,5.81,5.73
"8985_PLOD3",7.79,8.29,8.02,8.38,7.57
"8991_SELENBP1",9.11,6.56,6.01,6.17,8.39
"8992_ATP6V0E1",6.48,7.51,7.18,6.81,6.73
"8996_NOL3",6.55,5.59,5.18,5.79,7.29
"9021_SOCS3",4.46,4.44,4.28,4.47,4.12
"9037_SEMA5A",2.66,3.02,5.03,3.31,2.92
"9047_SH2D2A",4.07,3.62,3.72,4.05,4
"9052_GPRC5A",5.35,6.53,5.49,6.37,5.21
"9060_PAPSS2",4.18,5.85,5.58,4.24,5.58
"9069_CLDN12",3.47,4.02,2.97,3.05,3.1
"9071_CLDN10",3.88,3.16,3.07,3.39,3.32
"9076_CLDN1",2.68,2.72,2.96,3.17,7.36
"9107_MTMR6",5.15,5.86,5.77,6.13,5.35
"9111_NMI",4.36,6.61,5.71,5.92,4.59
"9118_INA",5.82,5.49,5.44,6.63,5.79
"9120_SLC16A6",4.43,4.1,3.44,4.35,4.99
"9123_SLC16A3",7.01,9.53,6.89,5.17,7.15
"9124_PDLIM1",6.77,7.87,7.82,8.21,7.12
"9126_SMC3",7.23,8.51,6.93,7.35,6.21
"9141_PDCD5",5.76,7.44,7.33,7.57,5.64
"9143_SYNGR3",4.94,4.03,5.07,4.89,4.69
"9147_NEMF",3.86,5.53,3.76,4.13,3.84
"9168_TMSB10",9.01,10.56,10.16,10.77,8.4
"9188_DDX21",5.82,6.5,5.88,6.64,5.78
"9200_HACD1",4.58,5.56,5.51,6.71,4.71
"9214_FCMR",5.59,6.09,4.96,5.03,4.96
"9221_NOLC1",6.14,6.91,5.56,7.07,6.46
"9231_DLG5",5.64,6.45,5.8,6.02,7.37
"9240_PNMA1",4.69,5.26,4.99,4.63,4.34
"9242_MSC",5.86,5.4,9.25,7.5,5.88
"9245_GCNT3",3.01,2.96,2.95,3.7,3.22
"9249_DHRS3",5.88,5.4,6.05,7.56,5.99
"9260_PDLIM7",5.74,6.03,7.16,5.83,5.62
"9262_STK17B",3.17,5.02,5.93,3.78,3
"9267_CYTH1",4.3,5.2,6.25,5.02,4.73
"9277_WDR46",4.62,5.88,5.74,5.7,5.12
"9289_ADGRG1",7.57,7.42,6.98,6.76,8.63
"9296_ATP6V1F",9.38,9.74,9.19,9.21,9.25
"9308_CD83",4.44,5.4,5.41,4.47,4
"9314_KLF4",3.07,3.72,4.1,4.33,2.83
"9319_TRIP13",7.03,7.61,8.08,8.24,7.74
"9322_TRIP10",6.14,7.89,7.12,6.35,6.39
"9324_HMGN3",4.93,4.51,4.52,4.64,5.21
"9331_B4GALT6",3.21,3.5,2.82,2.89,3.07
"9334_B4GALT5",5.56,7.92,7.13,6.99,6.54
"9355_LHX2",6.37,4.13,4.37,4.73,5.31
"9356_SLC22A6",5.05,3.79,3.92,4.29,4.17
"9368_SLC9A3R1",8.97,6.65,6.03,6.39,9.11
"9369_NRXN3",3.69,2.67,4.88,3.97,2.8
"9374_PPT2",6.6,6.18,6.4,5.96,6.14
"9375_TM9SF2",7.07,7.41,7.08,7.99,7.03
"9377_COX5A",7.87,7.83,6.9,6.7,7.64
"9397_NMT2",3.98,6.72,4.96,6.71,5.05
"9402_GRAP2",4.86,4.5,4.92,4.57,4.85
"9403_SEP15",4.76,7.39,6.25,5.6,5.17
"9404_LPXN",5.37,5.67,8.46,4.92,5.06
"9406_ZRANB2",5.03,6.01,5.83,6.04,5.17
"9410_SNRNP40",4.97,5.71,5.77,5.86,4.94
"9411_ARHGAP29",3.48,6.05,4.35,4.19,3.82
"9422_ZNF264",4.37,6.13,4.78,5.82,4.94
"9423_NTN1",4.76,4.46,4.64,5.04,5.88
"9445_ITM2B",7.46,8.43,8.51,8.16,8.52
"9446_GSTO1",6.86,8.84,7.09,7.49,6.86
"9447_AIM2",3.28,3.39,2.69,2.63,2.65
"9448_MAP4K4",3.54,5.25,4.44,3.39,3.73
"9452_ITM2A",2.91,2.22,2.32,2.27,2.75
"9454_HOMER3",5.55,6.59,7.22,7.08,4.85
"9459_ARHGEF6",5.13,4.93,4.68,5.16,5.67
"9467_SH3BP5",7.55,6.4,7.1,5.7,6.59
"9500_MAGED1",8.32,8.14,9.47,9.78,9.28
"9508_ADAMTS3",2.84,2.66,2.9,3.03,2.78
"9509_ADAMTS2",5.9,5.63,6.93,5.65,6.02
"9514_GAL3ST1",4.81,4.08,4.12,4.25,4.29
"9516_LITAF",7.06,7.63,7.29,5.31,7.96
"9517_SPTLC2",5.38,4.6,4.53,4.29,6.52
"9518_GDF15",7.04,6.35,5.98,7.53,6.5
"9519_TBPL1",4.45,4.53,5.05,4.62,3.86
"9520_NPEPPS",5.67,6.09,5.33,5.52,7.24
"9528_TMEM59",6.17,7.42,8.1,7.49,7.88
"9532_BAG2",3.18,5.17,5.37,4.11,3.6
"9535_GMFG",4.13,4.09,4.04,4.03,3.99
"9536_PTGES",7.48,7.66,6.42,6.83,9.83
"9538_EI24",6.99,7.77,7.46,7.78,8.19
"9540_TP53I3",5.31,5.02,5.56,4.96,9.75
"9545_RAB3D",6.72,6.95,6.9,7.89,8.01
"9556_C14orf2",7.36,7.03,5.87,6.26,7.6
"9559_VPS26A",6.04,7.91,6.13,6.98,6.35
"9569_GTF2IRD1",6.97,5.55,5.09,5.82,5.48
"9575_CLOCK",5.55,6.07,6.41,5.23,5.21
"9580_SOX13",7.07,5.93,5.29,5.89,7.16
"9582_APOBEC3B",5.52,8.14,8.33,8.3,7.36
"9583_ENTPD4",5.06,5.68,5.93,6.39,4.71
"9587_MAD2L1BP",6.19,6.79,6.58,6.04,5.96
"9592_IER2",7.8,8.55,8.57,9.39,7.74
"9615_GDA",3.81,3.24,3.14,3.33,3.46
"9620_CELSR1",4.7,3.89,3.7,4.19,5.7
"9636_ISG15",6.38,8.4,6.88,9.75,6.25
"9637_FEZ2",6.58,8.15,7.92,6.74,6.2
"9639_ARHGEF10",5.87,6.64,6.94,7.98,5.92
"9645_MICAL2",5.42,9.05,9.1,7.61,5.81
"9652_TTC37",3.76,4.61,4.77,4.57,4.27
"9659_PDE4DIP",5.21,4.12,4.78,3.98,4.84
"9672_SDC3",7.42,7.39,7.66,7.7,7.22
"9687_GREB1",3.92,2.53,2.46,2.56,5.23
"9693_RAPGEF2",5.03,6.64,5.84,5.2,5.12
"9697_TRAM2",6.25,9.55,9.66,7.76,6.77
"9709_HERPUD1",4.84,5.23,6.3,4.71,4.66
"9728_SECISBP2L",4.26,5.27,5.48,4.4,4.9
"9732_DOCK4",3.16,4.87,3.13,3.44,3.07
"9741_LAPTM4A",7.73,8.9,9.31,8.73,8.24
"9762_LZTS3",5.08,4.31,5.31,5.01,5.42
"9765_ZFYVE16",3.16,3.6,2.98,3.53,3.43
"9770_RASSF2",4.41,3.59,3.93,3.81,3.85
"9781_RNF144A",3.91,3.74,3.54,4.1,4.08
"9782_MATR3",6.03,5.95,5.94,5.77,5.6
"9788_MTSS1",3.63,2.97,3.29,3.91,3.45
"9791_PTDSS1",7.85,8.87,8.82,9.4,7.8
"9792_SERTAD2",5.35,8.61,7.49,6.66,5.15
"9804_TOMM20",6.06,7.85,7.1,8.05,7.71
"9805_SCRN1",5.27,7.2,7.2,6.73,7.19
"9813_EFCAB14",4.85,5.98,6.27,6.5,6.53
"9823_ARMCX2",2.89,3.14,3.28,2.96,3.03
"9827_RGP1",4.24,4.74,4.44,5.09,4.21
"9833_MELK",2.86,4.48,3.62,4.71,2.8
"9848_MFAP3L",3.12,2.89,3.2,2.74,2.93
"9861_PSMD6",10.9,9,8.7,8.26,8.03
"9877_ZC3H11A",6.23,6.34,6.06,5.99,5.62
"9878_TOX4",4.41,5.16,4.5,5.14,4.63
"9882_TBC1D4",3.03,3.68,3.4,4.17,3.56
"9886_RHOBTB1",3.89,3.17,3.62,3.36,3.38
"9891_NUAK1",6.04,7.83,8.16,7.91,5.67
"9900_SV2A",6.84,6.04,8.09,6.25,5.98
"9902_MRC2",6.08,5.91,7.29,6.15,5.63
"9903_KLHL21",4.3,5.45,6.19,5.44,4.71
"9910_RABGAP1L",4.04,4.23,4.06,4.09,4.12
"9915_ARNT2",4.02,5.79,5.59,4.18,3.4
"9920_KBTBD11",3.98,3.3,2.96,3.28,3.05
"9926_LPGAT1",4.22,4.98,4.83,4.44,4.28
"9928_KIF14",4.41,5.08,4.68,4.46,3.14
"9935_MAFB",4.12,3.57,6.2,5.33,3.97
"9943_OXSR1",5.53,7.08,6.89,7.36,5.82
"9945_GFPT2",6.78,6.52,6.81,6.85,6.63
"9947_MAGEC1",3.87,3.59,3.53,3.9,3.71
"9948_WDR1",6.86,8.81,8.51,7.63,6.5
"9953_HS3ST3B1",2.64,3.09,2.8,2.58,2.88
"9961_MVP",7.14,7.19,7.34,7.45,6.48
"9962_SLC23A2",5.3,6.05,5.9,5.81,5.83
"9965_FGF19",4.24,3.64,3.42,3.86,3.72
"9980_DOPEY2",2.72,3.73,3.33,4.15,3.65
"9982_FGFBP1",4.44,3.71,3.73,3.92,3.98
"10009_ZBTB33",4.85,5.18,4.65,5.28,3.98
"10016_PDCD6",8.53,8.37,8.5,8.14,9.14
"10019_SH2B3",4.75,6.67,5.95,5.22,4.99
"10020_GNE",3.43,7,6.24,7.15,4.95
"10039_PARP3",4.56,5.88,5.89,4.5,5.15
"10040_TOM1L1",5.45,4.73,4.44,4.62,6.17
"10049_DNAJB6",7.36,9.43,8.44,9.01,6.91
"10051_SMC4",7.19,8.39,8.53,7.99,7.66
"10053_AP1M2",7.14,7.26,5.61,6.13,6.88
"10057_ABCC5",6.04,4.97,5.25,3.9,5.77
"10058_ABCB6",6.23,5.07,5.92,5.29,5.57
"10059_DNM1L",2.66,3.44,3.28,2.95,2.93
"10060_ABCC9",4.91,4.6,4.78,4.18,4.05
"10062_NR1H3",4.53,4.31,3.9,3.79,5.33
"10079_ATP9A",6.36,4.88,6.45,5.96,6.21
"10085_EDIL3",2.59,7.02,8.38,5.2,2.62
"10087_COL4A3BP",4.92,5.52,5.02,5.51,5.37
"10092_ARPC5",7.21,7.65,8.19,7.93,7.27
"10095_ARPC1B",9.16,8.97,8.42,8.13,7.65
"10098_TSPAN5",4.94,6.69,6.97,6.77,5.22
"10103_TSPAN1",6.6,6,5.95,6.2,6.92
"10123_ARL4C",6.35,7.08,7.36,6.79,6.47
"10124_ARL4A",3.28,4.33,4.22,5.04,3.35
"10125_RASGRP1",2.76,2.72,3.18,2.85,2.91
"10131_TRAP1",8.6,7.76,7.63,8.41,8.31
"10133_OPTN",4.18,5.81,5.5,5.89,4.94
"10135_NAMPT",7.34,9.07,7.44,8.47,7
"10140_TOB1",7.97,5.84,5.09,5.81,9.05
"10149_ADGRG2",3.18,3.21,3.24,3.54,3.2
"10150_MBNL2",3.94,4.69,4.92,5.52,4.15
"10158_PDZK1IP1",5.48,4.3,4.34,4.97,5.16
"10159_ATP6AP2",4.47,5.59,5.16,5.38,6.12
"10160_FARP1",4.84,5.75,6.43,6.4,5.3
"10165_SLC25A13",4.26,3.98,3.53,4.06,3.76
"10178_TENM1",3.06,3.14,4.86,2.86,3.26
"10184_LHFPL2",5.88,7.19,7.53,7.75,5.44
"10186_LHFP",2.94,4.26,5,5.18,3.51
"10194_TSHZ1",4.43,5.05,6.1,5.4,4.21
"10202_DHRS2",7.93,6.43,6.61,6.53,6.78
"10204_NUTF2",7.88,7.62,7.41,7.32,7.21
"10209_EIF1",6.36,7.74,7.33,6.74,7.1
"10211_FLOT1",9.66,10.97,10.36,9.71,9.83
"10214_SSX3",4.53,4.21,4.23,4.33,4.62
"10217_CTDSPL",5.85,7.27,5.89,6.42,6.62
"10223_GPA33",3.96,3.17,3.24,3.26,3.31
"10226_PLIN3",7.73,9.56,8.62,9.94,7.88
"10234_LRRC17",3.48,3.1,3.31,3.18,3.19
"10247_HRSP12",8.19,6.9,8.04,7.39,7.82
"10252_SPRY1",3.92,3.73,3.61,3.89,3.7
"10253_SPRY2",3.87,5.04,3.58,4.46,3.37
"10257_ABCC4",3.74,4.34,3.82,4.39,3.12
"10263_CDK2AP2",8.87,8.22,8.6,7.61,8.42
"10267_RAMP1",5.22,4.66,5.31,7.22,3.82
"10272_FSTL3",7.01,6.3,8.03,7.65,6.66
"10280_SIGMAR1",4.03,6.9,6.8,7.21,6.05
"10296_MAEA",7.77,8.05,7.55,8.89,7.86
"10301_DLEU1",5.38,6.44,6.23,5.61,5.54
"10314_LANCL1",6.33,6.52,6.93,5.78,6.83
"10346_TRIM22",5,5.94,6.03,6.76,6.82
"10360_NPM3",7.87,7.86,7.42,7.34,7.67
"10362_HMG20B",8.08,7.71,7.61,7.06,8.17
"10370_CITED2",3.12,6.27,6.7,6.87,5.98
"10381_TUBB3",6.28,5.52,6.94,8.39,5.36
"10382_TUBB4A",6.31,5.26,5.65,5.45,5.53
"10388_SYCP2",2.72,2.46,2.44,3.03,5.99
"10397_NDRG1",5.57,7.6,7.92,5.37,6.24
"10398_MYL9",6.49,9.35,12.33,8.43,8.93
"10402_ST3GAL6",3.81,3.33,3.45,3.32,3.54
"10403_NDC80",5.99,6.92,6.55,6.65,4.81
"10406_WFDC2",5.85,5.32,5.28,5.52,5.67
"10409_BASP1",8.97,9.13,9.22,10.44,3.94
"10413_YAP1",4.4,7.45,7.93,6.71,7.03
"10417_SPON2",5.51,5.46,5.62,8.39,5.62
"10418_SPON1",3.6,2.51,2.49,2.58,2.64
"10424_PGRMC2",5.57,6.77,6.55,6.39,6.55
"10428_CFDP1",7.6,7.21,6.82,6.27,7.44
"10434_LYPLA1",5.96,6.51,7.36,7.44,7.61
"10436_EMG1",6.38,6.93,6.63,6.61,4.89
"10437_IFI30",10.14,8.19,9.29,6.98,7.62
"10455_ECI2",6.96,8.72,7.89,7,7.89
"10457_GPNMB",2.44,2.48,4.78,2.73,3.04
"10459_MAD2L2",7.25,8.06,8.27,8.1,7.25
"10461_MERTK",4.93,5.08,4.78,4.94,4.68
"10464_PIBF1",3.4,4.77,4.19,4.79,4.46
"10468_FST",2.94,3.45,4.12,3.4,2.87
"10473_HMGN4",6.68,8.54,7.66,7.64,5.89
"10477_UBE2E3",4.84,4.89,3.79,3.92,3.12
"10480_EIF3M",5.85,7.37,6.36,5.93,7.21
"10484_SEC23A",4.72,6.59,7.14,6.37,5.65
"10486_CAP2",5.03,5.61,6.8,5.31,6.03
"10487_CAP1",6.84,8.98,9.95,9.51,7.91
"10493_VAT1",8.36,9.84,9.84,9.95,9.25
"10509_SEMA4B",4.64,4.42,4.2,4.88,4.5
"10512_SEMA3C",5.84,4.54,4.96,4.4,6.7
"10516_FBLN5",3,2.84,3.46,3.07,3.12
"10519_CIB1",8.01,8.28,7.65,7.63,8.16
"10521_DDX17",3.67,3.66,4.17,4.2,3.88
"10522_DEAF1",5.1,5.84,5.31,5.16,4.62
"10528_NOP56",7.05,7.51,7.47,7.25,7.15
"10531_PITRM1",6.35,7.9,7.44,7.52,7.52
"10534_SSSCA1",8.12,8.08,7.84,8.25,8.23
"10544_PROCR",5.69,6.08,5.4,4.32,5.73
"10549_PRDX4",8.49,8.99,8.68,9.22,9.05
"10550_ARL6IP5",3.11,3.87,4.25,4.01,3.41
"10551_AGR2",4.64,4.37,4.43,4.52,6.74
"10552_ARPC1A",9.11,9.05,8.59,8.26,7.82
"10553_HTATIP2",5.52,5.91,4.88,4.82,6.4
"10559_SLC35A1",5.86,5.53,5.66,5.45,7.05
"10561_IFI44",4.5,5.68,4.16,7.12,4.65
"10568_SLC34A2",6.52,6.23,6.12,6.2,6.52
"10572_SIVA1",9.81,9.65,8.68,9.13,9.28
"10577_NPC2",6.48,9.45,7.31,8.88,8.24
"10579_TACC2",4.66,5.84,4.73,5.91,4.83
"10580_SORBS1",2.88,2.5,2.46,2.87,2.87
"10581_IFITM2",8.86,8.79,6.92,6.26,8.83
"10589_DRAP1",7.35,9.82,9.08,8.74,8.49
"10591_DNPH1",8.75,8.72,7.62,8.64,8.61
"10602_CDC42EP3",4.33,7.58,7.63,5.53,3.81
"10606_PAICS",6.78,7.1,6.41,6.53,6.02
"10610_ST6GALNAC2",4.86,4.63,4.13,4.31,5.85
"10622_POLR3G",3.11,3.37,3.22,3.44,2.76
"10625_IVNS1ABP",4.9,4.63,5.21,5.94,4.16
"10627_MYL12A",8.49,8.84,8.83,8.64,7.24
"10628_TXNIP",6.51,6.72,4.34,5.19,4.93
"10631_POSTN",2.48,2.64,8.97,4.18,2.58
"10634_GAS2L1",6.73,7.52,7.75,6.69,6.82
"10643_IGF2BP3",3.66,4.34,4.26,4.52,3.12
"10644_IGF2BP2",5.22,6.71,6.23,6.34,5.16
"10653_SPINT2",8.74,7.81,5.29,5.85,8.9
"10670_RRAGA",7.41,8.19,8.49,9.21,8.5
"10673_TNFSF13B",2.96,2.98,2.73,2.69,2.68
"10682_EBP",7.77,8.89,6.9,8.97,8.6
"10687_PNMA2",3.23,4.28,4.55,4.02,3.26
"10694_CCT8",6.05,7.85,7.67,7.59,7.39
"10728_PTGES3",9.28,8.9,8.89,7.61,9.56
"10734_STAG3",4.54,3.65,3.91,4.35,4.17
"10735_STAG2",4.28,4.61,3.88,4.57,3.51
"10758_TRAF3IP2",5.98,5.75,5.99,6.13,6.01
"10769_PLK2",5.21,7.24,6.33,8.1,7.24
"10771_ZMYND11",6.4,6.95,6.37,6.59,6.45
"10787_NCKAP1",4.44,6.13,6.23,4.66,4.44
"10788_IQGAP2",3.68,3.07,3.18,3.24,3.26
"10791_VAMP5",6.29,4.93,5.7,5.33,5.43
"10797_MTHFD2",8.3,6.78,9.17,7.36,7.48
"10800_CYSLTR1",2.85,2.66,2.46,2.66,2.88
"10809_STARD10",9.24,6.21,6.16,5.5,8.75
"10814_CPLX2",6.93,6.4,6.58,6.68,6.62
"10819_OR7E14P",6.08,5.68,5.75,5.16,5.03
"10838_ZNF275",6.39,7.01,6.83,5.88,5.94
"10848_PPP1R13L",7.02,7.25,8.19,7.43,8.01
"10855_HPSE",4.54,5.08,4.17,6.3,4.3
"10857_PGRMC1",7.81,8.13,7.48,7.43,7.22
"10867_TSPAN9",6.8,9.02,7.98,8.24,8.04
"10873_ME3",5.34,6.31,5.09,5.57,5.08
"10874_NMU",5.95,4.96,4.5,4.36,6.66
"10884_MRPS30",4.61,4.55,4.63,4.57,4.33
"10885_WDR3",6.45,7.29,6.26,7.04,5.66
"10892_MALT1",3.09,3.75,3.58,4.26,2.93
"10904_BLCAP",6.48,7.75,7.31,6.92,7.51
"10908_PNPLA6",6.35,7.63,8.18,6.77,6.28
"10916_MAGED2",6.97,7.4,7.6,7.46,8.47
"10928_RALBP1",3.11,3.37,3.45,2.53,2.75
"10938_EHD1",5.71,7.84,6.47,6.81,6.91
"10942_PRSS21",6.26,5.61,7.49,5.67,5.87
"10944_C11orf58",8.4,9.83,9.5,7.73,8.65
"10945_KDELR1",8.07,8.15,8.44,6.76,6.99
"10950_BTG3",3.95,6.34,5.68,5.69,3.02
"10951_CBX1",6.74,8.16,7.37,7.19,7.74
"10955_SERINC3",4.92,6.36,6.72,5.88,5.32
"10957_PNRC1",2.66,3.28,3.16,4.03,3.16
"10961_ERP29",8.28,8.91,8.51,8.71,8.83
"10962_MLLT11",3.96,4.44,7.9,6.21,6.17
"10969_EBNA1BP2",6.79,8.48,8.23,8.95,7.22
"10970_CKAP4",6.79,8.66,9.35,8.41,6.92
"10974_ADIRF",6.39,4.89,4.3,4.78,8.16
"10979_FERMT2",5.62,6.92,8.83,8.36,6.33
"10981_RAB32",3.43,5.31,5.66,6.43,4.29
"10987_COPS5",7.89,8.34,9.03,8.77,9.14
"11000_SLC27A3",7.14,5.32,5.22,5.47,6.15
"11001_SLC27A2",4.73,3.25,3.04,3.39,3.43
"11007_CCDC85B",7.43,8.09,7.89,6.87,7.1
"11012_KLK11",4.27,3.68,3.63,3.72,3.96
"11013_TMSB15A",4.26,3.43,4.32,4.44,4.2
"11015_KDELR3",3.99,3.92,5.72,4.23,3.58
"11030_RBPMS",4.89,4.26,6.12,4.44,4.49
"11031_RAB31",4.58,5.27,5.4,5.81,4.45
"11033_ADAP1",6.99,6.75,6.58,6.77,7.1
"11034_DSTN",8.48,8.46,9.95,8.85,10.18
"11040_PIM2",5.97,6.57,5.56,6.8,6.2
"11044_PAPD7",5.75,7.77,7.23,7.57,6.21
"11051_NUDT21",5.35,6.08,5.48,5.9,5.31
"11057_ABHD2",3.39,3.69,3.73,3.17,3.64
"11065_UBE2C",9.92,10.9,10.22,10.5,9.92
"11072_DUSP14",6.07,8.08,7.94,7.06,7.68
"11074_TRIM31",4.36,3.75,3.96,3.91,3.95
"11080_DNAJB4",3.57,4.14,5.03,5.47,3.44
"11082_ESM1",2.88,2.54,2.32,2.5,2.23
"11098_PRSS23",4.74,5.84,5.97,5.3,3.71
"11099_PTPN21",3.62,5.56,5.08,4.52,5.28
"11112_HIBADH",5.18,6.04,5.63,4.86,6.11
"11118_BTN3A2",4.68,6.01,6.24,5.41,5.43
"11124_FAF1",5.21,5.05,5.49,4.81,4.89
"11135_CDC42EP1",8.5,8.5,9.73,9.15,8.45
"11140_CDC37",6.5,9.42,7.72,9.14,7.85
"11142_PKIG",5.54,6.11,6.52,6.35,5.64
"11145_PLA2G16",4.82,7.06,4.89,4.4,8.08
"11151_CORO1A",7.85,6.53,6.6,6.74,6.85
"11157_LSM6",4.73,6.07,4.92,4.59,4.64
"11166_SOX21",4.03,3.85,4.53,3.66,4.18
"11170_FAM107A",4.9,4.62,4.35,4.78,4.77
"11174_ADAMTS6",4.03,4.64,5.59,5.31,3.79
"11187_PKP3",8.04,6.49,6.35,6.7,7.88
"11199_ANXA10",4.82,4.41,4.68,4.3,4.77
"11221_DUSP10",5.42,6.31,5.68,5.24,5.17
"11230_PRAF2",5.64,6.61,6.77,6.93,5.91
"11240_PADI2",5.03,4.47,4.37,4.55,4.76
"11252_PACSIN2",5.82,7.28,7.79,7.55,6.59
"11257_TP53TG1",4.56,3.51,4.05,3.3,4.23
"11260_XPOT",5.69,5.72,6.18,5.67,5.96
"11275_KLHL2",3.58,5.24,4.67,4.47,3.5
"11322_TMC6",7.47,6.71,6.18,6.27,8.01
"11329_STK38",5.33,7.92,6.83,6.03,4.76
"11331_PHB2",9.96,9.35,8.64,8.82,8.06
"11332_ACOT7",6.13,6.98,7.69,6.83,6.03
"11340_EXOSC8",7.36,8.19,7.29,7.65,6.42
"11342_RNF13",4.95,4.19,5.61,3.78,5.25
"11346_SYNPO",8.12,7.54,7.79,8,7.9
"22795_NID2",2.76,2.6,2.97,3.01,2.63
"22800_RRAS2",4.24,8.14,7.52,7.55,6.14
"22808_MRAS",4.93,5.06,6.43,5.27,5.34
"22822_PHLDA1",2.81,6.8,4,3.9,3.39
"22836_RHOBTB3",7.06,8.08,6.27,5.82,5.34
"22838_RNF44",6.54,5.54,5.08,6.32,6.15
"22843_PPM1E",5.04,2.99,2.54,4.09,2.67
"22856_CHSY1",6.46,6.77,7.4,7.42,6.76
"22858_ICK",3.12,5.14,4.44,4.37,3.24
"22862_FNDC3A",6.91,7.13,7.06,7.38,6.49
"22883_CLSTN1",6.49,6.87,7.91,7.59,6.8
"22885_ABLIM3",4.31,5.47,5.9,3.5,3.84
"22898_DENND3",2.9,3.83,3.92,3.71,3.67
"22903_BTBD3",3.17,4.56,4.1,5.12,3.55
"22908_SACM1L",4.31,6.37,6.24,6.03,5.54
"22911_WDR47",3.41,5.7,4.7,5.49,3.73
"22920_KIFAP3",5.16,5.26,5.84,5.72,5.4
"22921_MSRB2",7.05,6.71,5.4,5.47,5.78
"22924_MAPRE3",6.46,6.64,7.3,6.33,6.79
"22931_RAB18",6.27,7.13,7.02,6.31,8.93
"22934_RPIA",4.4,5.03,4,4.03,3.67
"22943_DKK1",5.35,8.33,4.34,5.63,3.03
"22979_EFR3B",7.17,5.99,6.14,6.88,6.17
"22998_LIMCH1",3.51,4.65,4.02,3.81,3.8
"23002_DAAM1",6.02,5.47,5.21,4.89,6.77
"23007_PLCH1",3.93,3.25,3.34,3.13,4.07
"23011_RAB21",5.18,5.69,5.4,5.83,5.81
"23015_GOLGA8A",3.47,3.08,3.02,3.99,2.97
"23022_PALLD",5.42,7.96,8.89,6.1,7.69
"23024_PDZRN3",3.12,2.6,3.47,3.4,3.3
"23028_KDM1A",5.74,6.05,6.52,7.02,5.66
"23032_USP33",5.28,7.96,7.1,6.36,5.93
"23034_SAMD4A",3.7,5.42,4.76,5.27,5.28
