"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"2181_ACSL3",3.26,3.56,3.88,3.37,2.58
"2182_ACSL4",2.54,4.5,3.97,4.42,2.51
"2184_FAH",6.51,6.66,6.07,4.85,6.93
"2191_FAP",2.83,2.7,6.26,3.15,2.8
"2194_FASN",9.8,8.53,8.52,8.94,9.74
"2195_FAT1",5.7,7.87,8.54,7.32,4.45
"2201_FBN2",6.01,5.91,6.11,6.49,5.96
"2202_EFEMP1",3.34,4.81,4.94,3.94,5.27
"2203_FBP1",9.64,8.07,5.25,5.5,7.8
"2207_FCER1G",3.76,3.11,3.14,3.37,3.5
"2217_FCGRT",6.42,6.48,6.14,6.06,7.24
"2239_GPC4",4.62,3.26,4.17,3.83,3.79
"2247_FGF2",3.7,3.48,4.32,4.84,3.49
"2258_FGF13",3.02,2.68,2.55,2.69,2.76
"2264_FGFR4",7.17,5.69,5.35,5.47,6.26
"2266_FGG",2.29,2.08,2.39,2.31,2.29
"2273_FHL1",4.39,5.49,9.28,5.46,3.96
"2274_FHL2",4.26,6.97,8.89,5.69,8.1
"2281_FKBP1B",4.16,3.59,3.89,3.71,3.96
"2289_FKBP5",5.45,6.92,5.04,5.03,6.31
"2294_FOXF1",3.36,2.75,2.81,2.66,2.88
"2295_FOXF2",4.25,4.61,5.2,3.68,3.85
"2296_FOXC1",6.22,6.86,7.22,7.11,6.01
"2297_FOXD1",5.43,4.91,6.67,6.58,5.21
"2308_FOXO1",4.44,4.39,5,4.87,4.57
"2312_FLG",3.04,6.15,3.33,3.17,2.99
"2314_FLII",6.72,8.69,7.85,7.38,8.1
"2315_MLANA",3.53,3.08,3.12,3.02,3.11
"2316_FLNA",8.25,10.74,10.85,10.98,8.98
"2317_FLNB",5.17,7.75,5.67,6.84,6.06
"2318_FLNC",5.65,8.51,8.2,6.14,6.2
"2332_FMR1",3.18,3.9,3.24,4.36,3.09
"2335_FN1",3.65,3.98,5.83,4.04,3.85
"2339_FNTA",5.31,7.38,8.31,8.1,7.71
"2348_FOLR1",4.88,4.98,4.8,5.13,6.21
"2353_FOS",4.98,4.5,4.33,4.77,4.54
"2495_FTH1",7.03,6.95,7.38,7.97,6.74
"2519_FUCA2",6.77,7.62,8.19,7.48,6.38
"2526_FUT4",3.43,4.01,3.02,2.86,3.28
"2533_FYB",3.56,3.31,3.42,3.53,3.56
"2537_IFI6",5.94,5.22,5.8,8.09,5.71
"2542_SLC37A4",8.07,7.89,6.46,6.47,8.04
"2551_GABPA",2.27,4.26,3.7,2.54,3.58
"2558_GABRA5",3.22,2.46,2.61,2.48,2.63
"2564_GABRE",4.42,4.64,4.33,5.59,3.99
"2581_GALC",2.71,4.38,2.58,3.6,4.75
"2582_GALE",6.15,6.54,6,5.47,6.41
"2590_GALNT2",4.79,6.11,6.16,6.57,5.05
"2591_GALNT3",3.37,3.22,4.06,3.35,3.53
"2596_GAP43",4.7,4.26,4.44,4.33,4.38
