ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
194388	30	32	22	23	39	46	30	34	23	32	197	58	85	103	94	77	216	34	140
194401	3	0	8	0	3	6	8	4	4	7	115	25	31	57	62	8	100	11	53
194433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194590	0	0	0	0	1	0	2	0	0	2	13	0	0	2	0	0	7	4	4
194597	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194655	2	2	0	2	4	0	2	2	2	4	19	10	2	10	11	8	8	5	12
194735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194744	10	0	2	7	6	4	0	0	0	2	0	0	0	1	1	1	0	2	0
194854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194908	5	9	8	3	15	3	23	9	3	7	9	6	7	9	3	33	9	6	1
194952	67	84	94	93	63	43	38	70	25	62	54	70	50	81	50	55	72	62	50
194974	0	1	3	7	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0
195018	11	7	4	10	4	6	12	1	3	5	107	18	12	76	64	18	59	6	59
195040	0	2	2	0	0	0	1	1	2	0	21	10	4	18	16	6	26	6	10
195046	0	0	0	0	0	0	0	0	0	1	6	0	0	2	1	0	1	0	2
195208	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	1	0	0
195236	1	1	1	0	1	6	2	2	0	0	0	1	1	0	0	0	0	0	0
195333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195434	0	4	4	2	8	2	0	0	0	0	43	2	10	32	34	17	43	13	57
195522	0	4	3	6	6	0	1	2	2	2	14	2	2	9	5	0	5	2	11
195531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
