tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
22218	2999	4444	3351	2014	3297	5287	4455
22223	10488	7877	5046	3984	4380	8196	3466
22240	16165	9152	8710	5669	6706	10667	10372
22253	4884	1859	2363	378	891	756	1929
22269	0	0	0	0	0	0	0
22301	0	0	0	0	0	0	0
22312	0	0	0	0	0	0	1
22318	1914	1074	1410	851	1191	1138	770
22326	0	1.65947538742835	0	7	4	3.53875560319337	0
22334	8977	11438	7204.2658181175	5720	7022	12108	13348.1698245844
22340	286	419	651	646	700	494	583
22341	574	43	62	140	60	110	172
22344	6375	8175	5901	6489	5776	6678	7137
22348	0	0	0	0	1	0	2
22359	2500	1474	3601	2997	1551	3152	2476
22363	1.04737718177422	0	0	0	0	0	0
22364	1	0	0	5	4	5.89792600532228	8
22370	40	92	39	283	169	247	27
22380	2312	3129	2360.57734410553	2043	2202	2751	3443.37081130256
22402	6818	471	1183	2601	1250	525	589
22403	1010	17	11	846	227	1165	2
22413	15.5282460598269	1	2.1623609258982	1	0.751500598165578	153	0
22414	170	104	72	112	205	108	70
22415	137	313	37	100	42	26	20
22422	5	27	1	73	77	29	3
22423	0	0	0	0	0	33.0283856298048	0
22433	4821	3806	4465	3119	2681	4607	2343
22437	31	34	3	1	1	577	111.749016399744
22446	22	0	12	5	2	36	19
22644	2386.1738111934	1763	1884.85794040793	1554	1821.63744995336	1882	1406.03613171618
22682	12030.1743098587	13551.2760137399	11804	7198.46071426703	8944	13520.4055746008	8435.43537811965
22687	2105	3111	2016	1666	1726	1911	1838.02113541072
22698	815	913	783	631	929	839	804
22712	290	309	156	134	112	189	116
22719	1024	861.267726075313	710	587	609	570.919237315197	723.730435860401
22722	1045	1569	810	872	856	1355	1387
22764	6330	7890	5362	5824	6330	10876	6820
22772	10556	7632	13769	893	8085	10815	13830
22779	704	1155	321	246	621	521	970
22782	1874	2356	1309	1401	1564	3420	1754
23790	7995	11479	7819	5249	6395	7918	11480
23836	1540	5280	4417	3458	7559	7745	11428
23837	3183	7067	3361	3077	3013	4881	5389
23873	694	899	598	553	572	576	691
23886	78	65	58	82	17	77	100
23893	1471	21	586	450	195	242	96
23919	0	1	0	0	1	0	4
23934	172	229	144	59	273	203	200
