tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
102637748	2	2	2	2	2	2	3
102637779	2	2	2	2	2	2	2
102637790	2	2	2	2	2	2	2
102637870	2	2	2	2	2	2	2
102637893	2	2	3	2	2	2	3
102637932	2	1	2	2	2	12	1
102637960	3	2	3	2	3	2	3
102637961	2	2	3	2	2	2	3
102637967	2	2	2	2	2	2	2
102637973	2	2	2	2	2	2	2
102637983	2	2	1	2	1	3	2
102637993	2	2	2	2	2	3	2
102638016	3	2	2	2	3	3	2
102638095	2	2	2	2	2	2	2
102638124	2	1	2	2	2	1	1
102638132	2	2	2	2	2	2	2
102638137	3	2	2	2	3	3	2
102638146	2	2	2	2	2	2	2
102638167	2	2	2	2	2	2	2
102638178	2	2	2	2	2	2	2
102638187	3	2	3	2	2	2	1
102638257	2	2	2	2	2	3	2
102638277	2	1	2	2	2	1	1
102638281	2	2	2	2	2	2	2
102638285	2	2	2	2	2	2	2
102638293	2	1	2	2	2	1	1
102638318	2	2	2	2	2	2	2
102638337	2	2	2	2	2	2	2
102638353	2	2	2	2	2	2	2
102638366	2	2	2	2	2	2	2
102638380	2	2	2	2	2	2	2
102638381	1	1	1	2	1	1	1
102638405	2	2	2	2	2	2	2
102638426	2	2	3	2	2	2	3
102638477	2	2	2	2	2	2	2
102638492	1	2	1	2	2	1	1
102638544	2	2	2	3	2	2	2
102638555	2.72995090016367	2.8657937806874	2.72995090016367	3	2.0556464811784	3	3
102638566	2	2	2	2	2	2	2
102638567	2	2	2	2	2	1	2
102638568	2	2	2	2	2	2	2
102638580	1	1	1	2	2	1	1
102638584	3	2	3	2	3	2	3
102638640	3	5	4	2	2	2	2
102638658	2	2	2	2	2	2	2
102638659	2	2	2	2	2	2	2
102638667	2	2	2	2	2	2	3
102638709	3	2	2	2	3	3	2
102638714	3	5	4	2	2	2	2
102638724	2	2	3	2	2	2	3
102638772	2	2	2	2	2	2	2
102638777	2	2	2	2	2	2	3
102638783	2	2	2	2	2	2	2
102638792	2	1	2	2	2	1	1
102638797	1	2	1	2	2	1	1
102638802	1	1	1	2	1	1	1
102638836	2	2	2	2	2	2	2
102638841	2	1	2	2	2	1	1
102638863	2	1	2	2	2	1	1
102638873	2	2	2	3	2	2	2
102638874	1	1	1	2	1	1	1
102638876	3	2	3	2	3	2	3
102638913	3	2	2.23801369863014	2	3	2	3
102638941	2	2	2	2	2	3	2
102638943	2	2	2	2	2	2	2
102638967	3	2	2	2	3	3	2
102638976	2	2	2	2	2	2	2
102638977	2	2	2	2	2	2	2
102638993	2	1	2	2	2	1	1
102639000	2	2	2	2	2	2	2
102639033	3	2	3	2	3	2	3
102639042	2	2	2	2	2	2	2
102639048	3	2	2	2	3	3	2
102639064	3	2	3	2	3	2	3
102639074	2	2	2	2	2	2	2
102639078	2	2	2	2	2	2	2
102639082	2	2	2	2	2	3	2
102639139	2	2	2	3	2	2	2
102639149	2	2	2	2	2	2	2
102639151	2	2	2	2	2	3	2
102639154	2	1	2	2	2	1	1
102639179	3	2	2	2	3	3	2
102639193	2	2	2	2	2	3	2
102639205	2	2	3	2	2	2	3
102639214	2	2	2	2	2	2	3
102639226	2	2	2	2	2	2	2
102639229	2	1	2	2	2	1	1
102639247	1	1	2	2	2	1	2
102639248	2	2	2	2	2	2	2
102639259	2	2	1	2	1	2	2
102639285	2	2	2	2	2	1	2
102639287	2	2	2	2	2	3	2
102639344	2	2	3	2	2	2	3
102639348	2	2	2	2	2	2	2
102639367	1	1	2	3	2	1	1
102639369	2	2	2	2	2	2	2
102639373	2	2	2	3	2	2	2
102639399	3	4	4	2	2	2	2
102639496	2	2	2	2	2	2	2
102639507	3	2	2	2	3	3	2
102639542	1	1	2	2	2	1	2
102639550	2	2	2	2	2	1	2
102639582	2	2	2	2	2	2	3
102639587	2	2	2	2	2	2	2
102639612	1	2	2	2	2	1	2
102639616	2	2	2	2	2	2	2
102639620	2	2	2	2	2	2	2
102639635	1	3	1	2	2	1	1
102639645	2	2	3	2	2	2	3
102639667	1	2	1	2	2	1	1
102639716	2	2	2	2	2	2	2
102639724	2	2	3	2	2	2	3
102639762	2	2	2	2	2	2	2
102639766	2	2	2	2	2	2	2
102639774	2	2	2	2	2	2	2
102639779	2	2	2	2	2	2	2
102639813	2	2	2	2	2	2	2
102639814	2	2	2	2	2	2	2
102639830	1	1	1	2	1	2	1
102639883	2	2	2	2	2	1	2
102639905	2	2	3	2	2	2	3
102639924	3	2	2	2	3	3	2
102639982	2	2	2	2	2	2	2
102639984	2	2	2	2	2	2	2
102639986	1	2	2	2	2	1	2
102639987	2	2	2	2	2	2	2
102639996	2	2	2	2	2	1	2
102640002	1	3	1	2	2	1	1
102640009	2	2	2	2	2	2	2
102640014	3	2	3	2	3	2	3
102640026	1	2	2	2	2	2	2
102640046	2	1	2	2	2	1	1
102640047	3	2	2	2	2	2	3
102640060	2	2	3	2	2	2	3
102640071	2	2	2	2	2	2	3
102640077	2	2	2	2	2	2	2
102640089	2	2	2	2	2	2	2
102640093	2	2	2	2	2	2	2
102640105	2	2	2	2	2	2	2
102640113	2	1	2	2	2	1	1
102640147	2	2	2	2	2	2	2
102640217	2	2	2	2	2	2	2
102640229	1	1	1	2	2	1	1
102640246	2	2	2	2	2	2	2
102640266	1	1	1	2	1	1	1
102640283	3	2	2	2	3	3	2
102640299	1	1	1	2	2	1	1
102640312	2	2	2	2	2	2	2
102640343	2	2	2	2	2	2	2
102640356	2	2	2	2	2	1	2
102640368	2	2	2	3	2	2	2
102640376	2	2	3	2	2	2	3
102640389	2	2	2	2	2	2	3
102640438	2	2	2	2	2	3	2
102640439	1	3	1	2	2	1	1
102640465	2	2	2	2	2	2	2
102640477	2	2	2	3.77153920619555	2	2	2
102640478	2	3	2	2	2	2	2
102640482	2	2	2	2	2	2	2
102640484	2	2	3	2	2	2	3
102640494	2	2	2	2	2	2	2
102640505	1	1	1	2	1	2	1
102640506	2	2	2	12	2	2	2
102640584	2	2	2	2	2	2	2
102640590	2	2	2	2	2	2	2
102640603	2	2	2	2	2	3	2
102640604	1	1	2	3	2	1	2
102640622	2	2	3	2	2	2	3
102640683	2	2	1	2	1	3	2
102640697	1	1	1	2	1	1	1
102640699	2	2	3	2	2	2	3
102640754	2	2	2	2	2	2	2
102640755	2	2	2	2	2	2	2
102640757	2	2	2	2	2	2	2
102640791	1	1	2	2	2	1	1
102640801	2	2	2	2	2	2	2
102640806	1	1	2	2	2	2	2
102640807	3	2	3	2	3	2	3
102640814	2	2	2	2	2	2	2
102640854	2	2	2	2	2	2	2
102640886	3	2	3	2	3	2	3
102640910	3	4	3	2	2	2	2
102640924	1	1	2	2	2	2	2
102640926	3	2	3	2	3	2	3
102640959	2	2	2	2	2	2	2
102640961	2	2	2	2	2	2	2
102640984	2	1	2	2	2	1	1
102640985	2	2	2	2	2	2	2
102640994	2	2	2	2	2	2	2
102641081	3	3	3	2	3	3	3
102641105	2	2	2	2	2	2	2
102641157	3	2	2	2	2	2	2
102641346	3	2	3	2	3	2	3
102641637	2	2	2	3	2	2	2
102642435	3	2	3	2	3	2	3
102642644	2	2	2	2	2	2	3
102642652	2	2	2	2	2	2	2
102642773	2	2	2	3	2	2	2
102642900	2	2	2	2	2	2	2
102643076	3	2	2	2	3	3	2
102643127	2	2	2	2	2	2	2
102902673	1	1	2	2	2	2	2
103140	2	2	2	2	2	1	2
